FACILITY,TOTAL REVENUE,Branch
GOPENS PHARMACY / WHOLESALE,1482161.93,KUMASI WHOLESALE
PRIME PHARMACY,1248304.69,TANTRA HILL WHOLESALE
DANPONG PHARMACY,852095.02,MALLAM WHOLESALE
HUMANO PHARMACY,792701.63,DOME WHOLESALE
PALACE PHARMACY,778031.91,OSU WHOLESALE
WESTERN PHARMACY - BANTAMA,765477.40,KUMASI WHOLESALE
PARAMEDICAL CHEMIST,760157.45,KORLE-BU WHOLESALE
JOY PHARMACY LTD,693690.11,DANSOMAN MARKET WHOLESALE
DELDEM PHARMA LTD,634807.96,KASOA WHOLESALE
STIPPS PHARMACY,587831.07,KORLE-BU WHOLESALE
MEDLIFE PHARMACY,548265.15,MALLAM WHOLESALE
MEDNET PHARMACY,540920.59,DOME WHOLESALE
JEPHPONG PHARMA LTD,522973.48,MALLAM WHOLESALE
CYPSER PHARMACY,517911.30,DOME WHOLESALE
RANDAN CHEMIST LTD,473066.64,KORLE-BU WHOLESALE
C. K. RELOG PHARMACY,456748.44,DOME WHOLESALE
AA DANHARIS PHARMACY,422307.62,OSU WHOLESALE
ENDS WELL PHARMACY W/SALE- BOLGA,398907.90,OKAISHIE WHOLESALE
ALPHA DELTA PHARMACY LTD LABONE,397840.20,KORLE-BU WHOLESALE
C. K. RELOG PHARMACY,393630.96,TANTRA HILL WHOLESALE
KINGSTREET PHARMACY,389664.87,OKAISHIE WHOLESALE
HEM PHARMA LTD TEMA,383557.91,ASHAIMAN WHOLESALE
MEDKNIGHT PHARMACY,382874.77,MALLAM WHOLESALE
EDRON PHARMACY,372814.34,KORLE-BU WHOLESALE
ACCRA MEDICAL CENTER,341820.34,OSU WHOLESALE
DEWLAND CHEMIST,341807.64,KORLE-BU WHOLESALE
AKS PHARMA,334369.33,TANTRA HILL WHOLESALE
CAPE COAST PHARMACY LTD,333745.88,MALLAM WHOLESALE
DINKUNIM PHARMACY,324445.84,KASOA WHOLESALE
BROTHER OF OAK VENTURES,322598.53,OKAISHIE WHOLESALE
PHARMACY ROYALE,311557.70,OSU WHOLESALE
STIPPS PHARMACY,311479.99,OSU WHOLESALE
FRANKLYN MEDICAL CENTER,307898.90,OSU WHOLESALE
MAM CHEMIST,286041.13,DOME WHOLESALE
CHALTON PHARMACY,283853.08,KORLE-BU WHOLESALE
FOCUS PHARMACY LTD,277234.89,KORLE-BU WHOLESALE
NASIT PHARMACY,276469.12,MALLAM WHOLESALE
TRUST HOSPITAL,269449.58,OSU WHOLESALE
HALE PHARMACY LTD,266302.05,OKAISHIE WHOLESALE
ALL HEALTH PHARMACY LTD,255865.09,OKAISHIE WHOLESALE
OPOKU WARE HOSPITAL,254771.18,MALLAM WHOLESALE
A & E PHARMACY LTD - MANKESSIM,254075.83,MALLAM WHOLESALE
AKOHANS PHARMACY,254075.72,OFANKOR WHOLESALE
CAPSULES PLUS PHAMARCY - EAST LEGON,253488.51,OKAISHIE WHOLESALE
EVERYDAY PHARMACY - AWOSHIE,250923.65,MALLAM WHOLESALE
KRENSEN PHARMACY,249147.51,OKAISHIE WHOLESALE
NIMO PHARMACY(KUMASI),248909.38,KUMASI WHOLESALE
PARKER PHARMACY,248238.36,KORLE-BU WHOLESALE
ADIMED PHARMACY LIMITED,244414.00,NANAKROM WHOLESALE
GRAMER CHEMISTS,244277.17,OKAISHIE WHOLESALE
VIC BARNS PHARMACY,241461.26,KUMASI WHOLESALE
GEO JANE CHEMICAL,237237.30,KASOA WHOLESALE
PALEM PHARMACY,236199.11,DOME WHOLESALE
TOP UP PHARMACY OSU,235680.37,OSU WHOLESALE
TRUST CHEMIST,233493.80,OSU WHOLESALE
TOP UP PHARMACY OSU,227806.37,MALLAM WHOLESALE
MOKAT CHEMIST LTD.,224273.94,OSU WHOLESALE
LONDON BRIDGE PHARMACY-CAPE COAST,222826.23,MALLAM WHOLESALE
KOFAG HEALTHCARE CO. LTD - WHOLESALE,221262.74,KUMASI WHOLESALE
BRIDGE VIEW PHARMACY,220173.99,TANTRA HILL WHOLESALE
LAUD K PHARMACY,214591.77,KUMASI WHOLESALE
FELBET PHARMACY,212343.40,NANAKROM WHOLESALE
CLIMBERS PHARMA,211204.83,KORLE-BU WHOLESALE
REGIBEN FAMILY PHARMACY,209065.18,MALLAM WHOLESALE
BARNOR HOSPITAL,206778.76,KORLE-BU WHOLESALE
JOY PHARMACY LTD,204220.66,KORLE-BU WHOLESALE
HEALTH POINT PHARMACY,200369.60,MALLAM WHOLESALE
REECH OPTIONS PHARAMCY,199789.64,KORLE-BU WHOLESALE
BASEVIEW PHARMACY,193414.09,KASOA WHOLESALE
HEALTH TOWER PHARMACY,193036.06,OFANKOR WHOLESALE
APL PHARMACY  LTD,192953.17,NANAKROM WHOLESALE
NU MEDICALS PHARMACY,191392.95,OSU WHOLESALE
HUMANO PHARMACY,191276.56,NANAKROM WHOLESALE
SKAD-D PHARMACY LTD,189486.48,KUMASI WHOLESALE
GEOVIKES PHARMACY LTD,186744.86,MALLAM WHOLESALE
BRITISH ACCRA PHARMACY,184912.44,KORLE-BU WHOLESALE
BENONOX RX PHARMACY,183391.67,DOME WHOLESALE
KRENSEN PHARMACY,177341.54,MALLAM WHOLESALE
BERNAMIS PHARMACY,176800.68,KUMASI WHOLESALE
VALUE HEALTH PHARMACY,176593.37,KORLE-BU WHOLESALE
DANVAL PHARMACY,176363.54,OFANKOR WHOLESALE
TAIFA MINUTE CLINIC PHARMACY,175688.90,DOME WHOLESALE
THREE ACE PHARMACY LTD,171231.56,KORLE-BU WHOLESALE
CRESCENT CHEMIST,171156.92,TANTRA HILL WHOLESALE
CHASCA PHARMACY,170851.99,ASHAIMAN WHOLESALE
ABUNDANT GRACE CHEMICALS,169853.19,DANSOMAN MARKET WHOLESALE
HERITAGE PHARMACY - WHOLESALE,168170.00,KUMASI WHOLESALE
GOOD CARE PHARMACY LTD,166791.45,OSU WHOLESALE
P O A CHEMICAL,165885.27,MALLAM WHOLESALE
CARDINAL CHEMISTS,165069.70,KORLE-BU WHOLESALE
RHEMA RAPHA MEDICAL CENTER,165029.01,OSU WHOLESALE
CSL PHARMACY,162478.07,ASHAIMAN WHOLESALE
